"Date (UTC)","Timestamp (UTC)"," Robert Francis Prevost","Other","Luis Antonio Tagle"," Anders Arborelius","Jose Tolentino de Mendonca","Kurt Koch","Raymond Burke","Robert Sarah","Péter Erdő","Jean-Marc Aveline","Charles Maung Bo","Jean-Claude Hollerich","Peter Turkson","Pietro Parolin","Francis Arinze","Angelo Scola","Wim Eijk","Mario Grech","Fridolin Ambongo Besungu","Pierbattista Pizzaballa","Matteo Zuppi","No new Pope in 2025","Mark Ouellet","Baldassare Reina","Malcolm Ranjith","Fernando Filoni"
"02-24-2025 19:00","1740423604","","","0.25","","","","0.06","0.175","0.04","","","","0.085","0.115","","0.07","0.04","0.0255","0.04","0.035","0.03","0.18","","","",""
"02-24-2025 20:00","1740427205","","","0.235","","","","0.05","0.115","0.035","","","","0.08","0.125","","0.025","0.0345","0.031","0.0345","0.035","0.0295","0.175","","","",""
"02-24-2025 21:00","1740430804","","","0.215","","","","0.05","0.105","0.05","","","","0.08","0.16","","0.023","0.0295","0.031","0.0445","0.035","0.034","0.235","","","",""
"02-24-2025 22:00","1740434404","","","0.17","","","","0.05","0.105","0.05","","","","0.08","0.16","","0.0235","0.0295","0.031","0.0435","0.0345","0.034","0.23","","","",""
"02-24-2025 23:00","1740438004","","","0.18","","","","0.05","0.11","0.04","","","","0.085","0.24","","0.0235","0.028","0.031","0.0435","0.0345","0.034","0.23","","","",""
"02-25-2025 00:00","1740441604","","","0.18","","","","0.05","0.105","0.04","","","","0.085","0.25","","0.023","0.027","0.0305","0.0435","0.0345","0.034","0.23","","","",""
"02-25-2025 01:00","1740445204","","","0.165","","","","0.05","0.105","0.04","","","","0.075","0.22","","0.023","0.027","0.0295","0.0435","0.0335","0.034","0.3","","","",""
"02-25-2025 02:00","1740448804","","","0.17","","","","0.05","0.105","0.04","","","","0.075","0.215","","0.023","0.0265","0.0295","0.0435","0.0335","0.0345","0.29","","","",""
"02-25-2025 03:00","1740452405","","","0.17","","","","0.05","0.11","0.0395","","","","0.075","0.21","","0.023","0.0265","0.0295","0.043","0.0335","0.0345","0.295","","","",""
"02-25-2025 04:00","1740456004","","","0.195","","","","0.05","0.12","0.0335","","","","0.075","0.185","","0.023","0.0265","0.0295","0.0435","0.0335","0.0345","0.325","","","",""
"02-25-2025 05:00","1740459605","","","0.2","","","","0.05","0.115","0.033","","","","0.075","0.19","","0.023","0.0265","0.0295","0.0435","0.0335","0.035","0.31","","","",""
"02-25-2025 06:00","1740463204","","","0.2","","","","0.05","0.12","0.0275","","","","0.075","0.19","","0.0205","0.0265","0.0295","0.0435","0.0335","0.035","0.31","","","",""
"02-25-2025 07:00","1740466805","","","0.205","","","","0.03","0.115","0.0365","","","","0.075","0.185","","0.016","0.0185","0.027","0.039","0.0245","0.0245","0.305","","","",""
